#Day Of Year:,41
#Event Date:,02/10/2020 05:43:11
#Original NetCDF file:,ORGLM-L2-LCFAG17s20200410543000e20200410543200c20200410543325.nc
#Platform:,G17
#Satellite (lat/lon/height):,0.0 / -137.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,04/14/2020 08:02:41
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
1581313391261,-97.69039154052734,-42.553016662597656,5.284549870923024e-15
1581313391263,-97.69038391113281,-42.55302429199219,6.784369835540859e-15
1581313391264,-97.69039154052734,-42.55302429199219,6.284429847334914e-15
1581313391266,-97.69039154052734,-42.55302429199219,6.884357833182048e-15
1581313391269,-97.69039916992188,-42.55302429199219,7.084333828464426e-15
1581313391271,-97.6904067993164,-42.55302810668945,7.084333828464426e-15
1581313391272,-97.69042205810547,-42.55302047729492,7.584273816670371e-15
1581313391274,-97.6904296875,-42.55301284790039,7.584273816670371e-15
1581313391276,-97.69044494628906,-42.55300521850586,7.584273816670371e-15
1581313391279,-97.69046020507812,-42.55299377441406,6.68438183789967e-15
1581313391280,-97.69047546386719,-42.55298614501953,6.984345830823237e-15
1581313391282,-97.69047546386719,-42.55297088623047,6.584393840258481e-15
1581313391284,-97.69046020507812,-42.552955627441406,6.584393840258481e-15
1581313391286,-97.6904525756836,-42.552940368652344,6.884357833182048e-15
1581313391289,-97.69043731689453,-42.55292510986328,6.784369835540859e-15
1581313391290,-97.6904296875,-42.55290985107422,7.284309823746804e-15
1581313391292,-97.69041442871094,-42.55291748046875,6.984345830823237e-15
1581313391294,-97.69038391113281,-42.552947998046875,6.484405842617292e-15
1581313391297,-97.69036102294922,-42.552978515625,6.484405842617292e-15
1581313391298,-97.69033813476562,-42.553009033203125,6.68438183789967e-15
1581313391300,-97.69031524658203,-42.55303955078125,7.384297821387993e-15
1581313391302,-97.69033813476562,-42.553043365478516,6.884357833182048e-15
1581313391304,-97.69039154052734,-42.55302047729492,6.68438183789967e-15
1581313391306,-97.6904525756836,-42.55299758911133,6.484405842617292e-15
1581313391308,-97.69051361083984,-42.552974700927734,6.984345830823237e-15
1581313391310,-97.6905746459961,-42.55295181274414,6.584393840258481e-15
1581313391312,-97.69061279296875,-42.55293655395508,6.784369835540859e-15
1581313391314,-97.69063568115234,-42.55292892456055,6.68438183789967e-15
1581313391316,-97.6906509399414,-42.552921295166016,6.084453852052536e-15
1581313391318,-97.690673828125,-42.552913665771484,6.084453852052536e-15
1581313391320,-97.69068908691406,-42.55290603637695,5.284549870923024e-15
1581313391322,-97.69068145751953,-42.55291748046875,5.284549870923024e-15
1581313391400,-97.82978820800781,-42.54116439819336,5.384537868564213e-15
1581313391402,-97.82979583740234,-42.54118347167969,5.784489859128969e-15
1581313391404,-97.82975006103516,-42.54118728637695,4.3846578921523235e-15
1581313391412,-97.82959747314453,-42.541194915771484,5.484525866205402e-15
1581313391414,-97.82962799072266,-42.54118347167969,4.8845978803582684e-15
1581313391416,-97.82965087890625,-42.54117202758789,4.7846098827170794e-15
1581313391441,-97.82980346679688,-42.541133880615234,5.584513863846591e-15
1581313391443,-97.82978057861328,-42.54111862182617,3.9847059015875675e-15
