#Day Of Year:,263
#Event Date:,09/19/2024 09:52:50
#Original NetCDF file:,GLM-L2-LCFAG16s20242630952400e20242630953000c20242630953018.nc
#Platform:,G16
#Satellite (lat/lon/height):,0.0 / -75.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,10/01/2024 18:20:42
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,4.384657581132413e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6328125,-27.040706634521484,5.58451363223602e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,5.484525627977386e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63265991210938,-27.040699005126953,6.484405670563725e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,7.584273717408697e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63249969482422,-27.04068946838379,8.484165755736402e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,9.584033802581375e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63233947753906,-27.040681838989258,1.0283949832391812e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333892822266,-27.040735244750977,1.1283829874978151e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63218688964844,-27.040672302246094,1.278364993885766e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,1.098386586220225e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63202667236328,-27.040664672851562,8.284189747219135e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,7.484285713150064e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63187408447266,-27.04065704345703,6.984345691856894e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6333236694336,-27.040735244750977,6.284429662046457e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.6317138671875,-27.040647506713867,5.384537623718752e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,5.284549619460118e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63155364990234,-27.040639877319336,7.284309704632796e-15
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.040735244750977,1.1483805883495419e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63140106201172,-27.040634155273438,1.2883637943116293e-14
Thu Sep 19 2024 02:52:49 GMT-0700 (Pacific Daylight Time),-113.63330078125,-27.040735244750977,1.1883757900529954e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63333129882812,-27.04073715209961,1.0283949832391812e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63314056396484,-27.040727615356445,9.084093781288206e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63334655761719,-27.040739059448242,9.684021806840009e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63298797607422,-27.04071807861328,9.684021806840009e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63333892822266,-27.040739059448242,1.0583913845167714e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63282775878906,-27.04071044921875,1.0383937836650446e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63333892822266,-27.040739059448242,1.0283949832391812e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6326675415039,-27.04070281982422,9.684021806840009e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,7.884237730184599e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63251495361328,-27.040693283081055,8.584153759995036e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,8.584153759995036e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63235473632812,-27.040685653686523,8.484165755736402e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,8.484165755736402e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6322021484375,-27.04067611694336,7.584273717408697e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,7.184321700374162e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63204193115234,-27.040668487548828,6.88435768759826e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,7.284309704632796e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63188171386719,-27.040658950805664,6.984345691856894e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,5.684501636494654e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63172912597656,-27.040651321411133,6.084453653529189e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63337707519531,-27.040740966796875,6.784369683339626e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6315689086914,-27.04064178466797,6.784369683339626e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63339233398438,-27.040740966796875,5.7844896407532875e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63141632080078,-27.040634155273438,5.58451363223602e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63336181640625,-27.040739059448242,6.384417666305091e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63329315185547,-27.040735244750977,7.584273717408697e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63321685791016,-27.04073143005371,7.884237730184599e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63313293457031,-27.040727615356445,7.38429770889143e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.633056640625,-27.040721893310547,6.88435768759826e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63298034667969,-27.04071807861328,6.384417666305091e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63289642333984,-27.040714263916016,5.984465649270555e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63282012939453,-27.04071044921875,5.7844896407532875e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63274383544922,-27.040706634521484,5.384537623718752e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6326675415039,-27.040700912475586,4.384657581132413e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63250732421875,-27.040693283081055,4.8845976024255826e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63243103027344,-27.04068946838379,5.184561615201484e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6323471069336,-27.040685653686523,5.484525627977386e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63227081298828,-27.040679931640625,7.784249725925965e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63219451904297,-27.04067611694336,8.984105777029572e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63211059570312,-27.040672302246094,1.0583913845167714e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63203430175781,-27.040668487548828,1.0683901849426348e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.6319580078125,-27.04066276550293,8.784129768512304e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63188171386719,-27.040658950805664,6.6843816790809925e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63179779052734,-27.0406551361084,5.7844896407532875e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.63172149658203,-27.040651321411133,5.08457361094285e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.61426544189453,-27.04217529296875,9.117424019542894e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.61277770996094,-27.042131423950195,1.2187054479733533e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.61132049560547,-27.042137145996094,1.6876491794760168e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.59211730957031,-27.039682388305664,1.9346195923464898e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.58894348144531,-27.03921127319336,1.7886370553069075e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.58483123779297,-27.037878036499023,1.543666453343584e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.55692291259766,-27.036231994628906,9.047432670671735e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.55601501464844,-27.036178588867188,9.837337650205058e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.5552749633789,-27.03616714477539,1.2587007174394427e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.54521179199219,-27.035541534423828,1.1137181536160709e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.54328918457031,-27.035459518432617,1.0667238170255014e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.54044342041016,-27.03529167175293,9.417388201725385e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.54013061523438,-27.035274505615234,1.0337277502091638e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53935241699219,-27.035194396972656,1.0297282639201363e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53898620605469,-27.035173416137695,1.0807221545623691e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.54045104980469,-27.035259246826172,1.351689485167007e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53746795654297,-27.03511619567871,1.30069566228741e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.5345687866211,-27.03494644165039,1.1617123278975794e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.5345687866211,-27.03494644165039,1.0717232087681036e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53456115722656,-27.034912109375,9.617363871429474e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53457641601562,-27.03494644165039,9.417388201725385e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53457641601562,-27.03494644165039,9.797342787314783e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53457641601562,-27.03494644165039,1.0687235601700151e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.034948348999023,1.2676995954710724e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459167480469,-27.03494644165039,1.32969224281472e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459167480469,-27.03494644165039,1.3406907962282277e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53458404541016,-27.034914016723633,1.2796981898634263e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.034948348999023,1.0687235601700151e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.034948348999023,1.0577248712312359e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.034948348999023,1.1097186673270434e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.034948348999023,1.0837218031604576e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.034948348999023,1.0987199783882642e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459930419922,-27.034914016723633,9.837337650205058e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459930419922,-27.034914016723633,8.987439698709965e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459930419922,-27.034914016723633,8.437505929397363e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53462982177734,-27.034950256347656,8.857455377877035e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.034915924072266,1.0337277502091638e-13
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.034915924072266,8.82745889189615e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.034915924072266,7.547612437385637e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.034915924072266,6.857695292704358e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.034915924072266,6.727710971871428e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53463745117188,-27.034950256347656,5.96780247831899e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53462982177734,-27.034915924072266,5.697834782117384e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53462982177734,-27.034915924072266,5.337877627973123e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53462982177734,-27.034915924072266,4.9279268952160185e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.0349178314209,4.617963997310959e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.0349178314209,4.278004613425014e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53449249267578,-27.034912109375,4.198014210018107e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.0349178314209,4.0680298891851777e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53433227539062,-27.034902572631836,3.9380455683522483e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53462219238281,-27.0349178314209,3.7080730738540957e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.5341796875,-27.034894943237305,3.588087468743735e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.0349178314209,3.248128423670969e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53401947021484,-27.03488540649414,3.198134506244947e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.0349178314209,3.038153699431133e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.0349178314209,2.6681981683774822e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53370666503906,-27.034870147705078,2.608205365822302e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.0349178314209,2.4682221598602144e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53355407714844,-27.034860610961914,2.3682341556015805e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.0349178314209,2.3482365547498538e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53339385986328,-27.034852981567383,2.1382618305100173e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459930419922,-27.0349178314209,2.0382738262513835e-14
