#Day Of Year:,322
#Event Date:,11/18/2019 13:54:00
#Original NetCDF file:,ORGLM-L2-LCFAG16s20193221354000e20193221354200c20193221354337.nc
#Platform:,G16
#Satellite (lat/lon/height):,0.0 / -75.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,04/14/2020 08:29:25
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
1574085240302,-112.3201675415039,-22.7052059173584,2.184921944046166e-15
1574085240320,-112.32013702392578,-22.705135345458984,1.78496995348141e-15
1574085240322,-112.32014465332031,-22.705114364624023,1.78496995348141e-15
1574085240324,-112.32015991210938,-22.705095291137695,1.78496995348141e-15
1574085240342,-112.32015228271484,-22.70510482788086,2.084933946404977e-15
1574085240344,-112.32011413574219,-22.70508575439453,1.78496995348141e-15
1574085240348,-112.32011413574219,-22.705097198486328,1.984945948763788e-15
1574085240350,-112.32013702392578,-22.705114364624023,1.984945948763788e-15
1574085240389,-112.2281494140625,-22.70053482055664,2.184921944046166e-15
1574085240391,-112.22814178466797,-22.700519561767578,2.384897939328544e-15
1574085240394,-112.22813415527344,-22.700504302978516,2.184921944046166e-15
1574085240395,-112.2281265258789,-22.70049285888672,2.384897939328544e-15
1574085240397,-112.2281265258789,-22.700498580932617,3.0848139228168667e-15
1574085240399,-112.22813415527344,-22.700504302978516,2.8848379275344887e-15
1574085240401,-112.22813415527344,-22.700510025024414,3.1848019204580557e-15
1574085240403,-112.22813415527344,-22.700515747070312,3.3847779157404337e-15
1574085240405,-112.22814178466797,-22.70052146911621,3.2847899180992447e-15
1574085240407,-112.2281494140625,-22.700523376464844,2.7848499298932998e-15
1574085240409,-112.22815704345703,-22.700525283813477,2.9848259251756777e-15
1574085240411,-112.2281723022461,-22.70052719116211,2.9848259251756777e-15
1574085240413,-112.22817993164062,-22.700529098510742,3.0848139228168667e-15
1574085240415,-112.22818756103516,-22.700531005859375,3.2847899180992447e-15
1574085240417,-112.2281723022461,-22.700525283813477,3.2847899180992447e-15
1574085240419,-112.22816467285156,-22.70052146911621,3.3847779157404337e-15
1574085240421,-112.2281494140625,-22.700515747070312,3.0848139228168667e-15
1574085240423,-112.22814178466797,-22.700510025024414,3.6847419086640006e-15
1574085240425,-112.2281265258789,-22.70050621032715,3.6847419086640006e-15
1574085240427,-112.22814178466797,-22.70051383972168,3.6847419086640006e-15
1574085240429,-112.22815704345703,-22.700523376464844,3.4847659133816226e-15
1574085240431,-112.2281723022461,-22.700532913208008,3.2847899180992447e-15
1574085240433,-112.22817993164062,-22.700542449951172,3.3847779157404337e-15
1574085240435,-112.22819519042969,-22.700551986694336,3.8847179039463786e-15
1574085240437,-112.22818756103516,-22.700542449951172,3.6847419086640006e-15
1574085240439,-112.22817993164062,-22.700532913208008,3.1848019204580557e-15
1574085240441,-112.22816467285156,-22.700523376464844,3.7847299063051896e-15
1574085240443,-112.22815704345703,-22.70051383972168,3.584753911022812e-15
1574085240445,-112.2281494140625,-22.70050621032715,3.2847899180992447e-15
1574085240447,-112.2281494140625,-22.70051383972168,3.3847779157404337e-15
1574085240449,-112.2281494140625,-22.70052146911621,3.3847779157404337e-15
1574085240451,-112.22814178466797,-22.700529098510742,2.8848379275344887e-15
1574085240453,-112.22814178466797,-22.700538635253906,3.0848139228168667e-15
1574085240455,-112.22814178466797,-22.700546264648438,2.9848259251756777e-15
1574085240457,-112.22814178466797,-22.700536727905273,3.2847899180992447e-15
1574085240459,-112.22813415527344,-22.700525283813477,2.9848259251756777e-15
1574085240461,-112.22813415527344,-22.70051383972168,3.7847299063051896e-15
1574085240463,-112.2281265258789,-22.700502395629883,3.2847899180992447e-15
1574085240465,-112.2281265258789,-22.700490951538086,3.584753911022812e-15
1574085240467,-112.22811126708984,-22.70048713684082,3.8847179039463786e-15
1574085240469,-112.22810363769531,-22.700485229492188,3.7847299063051896e-15
1574085240471,-112.22808837890625,-22.700481414794922,3.8847179039463786e-15
1574085240473,-112.22807312011719,-22.70047950744629,4.3846578921523235e-15
1574085240475,-112.22805786132812,-22.700475692749023,4.5846338874347014e-15
1574085240477,-112.22808074951172,-22.700469970703125,4.3846578921523235e-15
1574085240479,-112.22811126708984,-22.700462341308594,4.8845978803582684e-15
1574085240481,-112.22814178466797,-22.700456619262695,6.184441849693725e-15
1574085240483,-112.22816467285156,-22.700448989868164,5.784489859128969e-15
1574085240485,-112.22819519042969,-22.700443267822266,5.884477856770158e-15
1574085240487,-112.22818756103516,-22.700437545776367,6.384417844976103e-15
1574085240489,-112.22817993164062,-22.70043182373047,6.984345830823237e-15
1574085240491,-112.2281723022461,-22.700428009033203,7.384297821387993e-15
1574085240493,-112.22816467285156,-22.700422286987305,7.884237809593938e-15
1574085240495,-112.22815704345703,-22.700416564941406,8.384177797799883e-15
1574085240497,-112.22815704345703,-22.700437545776367,8.484165795441072e-15
1574085240499,-112.22815704345703,-22.700464248657227,8.984105783647017e-15
1574085240501,-112.22816467285156,-22.700490951538086,9.084093781288206e-15
1574085240503,-112.22816467285156,-22.700517654418945,9.68402176713534e-15
1574085240505,-112.2281723022461,-22.700544357299805,9.484045771852962e-15
1574085240507,-112.22815704345703,-22.700531005859375,9.784009764776529e-15
1574085240509,-112.2281265258789,-22.70050621032715,1.0383937750623662e-14
1574085240511,-112.22810363769531,-22.700481414794922,9.983985760058907e-15
1574085240513,-112.22808074951172,-22.700458526611328,9.784009764776529e-15
1574085240514,-112.2280502319336,-22.7004337310791,9.784009764776529e-15
1574085240517,-112.22806549072266,-22.700450897216797,1.0883877738829607e-14
1574085240519,-112.22809600830078,-22.70047950744629,1.1283829729394363e-14
1574085240521,-112.2281265258789,-22.70050621032715,1.1283829729394363e-14
1574085240523,-112.2281494140625,-22.70053482055664,1.0983865736470796e-14
1574085240525,-112.22817993164062,-22.700563430786133,1.1183841731753174e-14
1574085240527,-112.21633911132812,-22.699974060058594,1.2183721708165064e-14
1574085240529,-112.20986938476562,-22.699642181396484,1.158379372231793e-14
1574085240531,-112.2086410522461,-22.69957160949707,1.1783769717600308e-14
1574085240532,-112.2023696899414,-22.699251174926758,1.168378171995912e-14
1574085240535,-112.19757843017578,-22.699003219604492,1.1383817727035552e-14
1574085240537,-112.18878173828125,-22.698564529418945,1.1183841731753174e-14
