#Day Of Year:,257
#Event Date:,09/13/2020 07:54:26
#Original NetCDF file:,ORGLM-L2-LCFAG17s20202570754200e20202570754400c20202570754530.nc
#Platform:,G17
#Satellite (lat/lon/height):,0.0 / -137.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,09/19/2020 23:52:09
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
1599983666577,-111.18756103515625,45.614990234375,2.6848619322521108e-15
1599983666579,-111.18755340576172,45.614990234375,2.8848379275344887e-15
1599983666581,-111.18755340576172,45.614994049072266,3.7847299063051896e-15
1599983666583,-111.18754577636719,45.614994049072266,3.7847299063051896e-15
1599983666585,-111.18753051757812,45.6150016784668,4.6846218850758904e-15
1599983666587,-111.18751525878906,45.61500549316406,4.4846458897935125e-15
1599983666589,-111.18750762939453,45.61500930786133,5.384537868564213e-15
1599983666591,-111.18749237060547,45.615013122558594,5.584513863846591e-15
1599983666593,-111.1874771118164,45.61501693725586,5.384537868564213e-15
1599983666595,-111.18745422363281,45.615028381347656,5.584513863846591e-15
1599983666597,-111.18743133544922,45.61503601074219,6.284429847334914e-15
1599983666599,-111.18740844726562,45.615047454833984,6.484405842617292e-15
1599983666601,-111.18738555908203,45.615055084228516,6.484405842617292e-15
1599983666603,-111.18737030029297,45.61506652832031,7.084333828464426e-15
1599983666605,-111.18737030029297,45.61506652832031,6.884357833182048e-15
1599983666607,-111.1873779296875,45.61507034301758,6.884357833182048e-15
1599983666609,-111.1873779296875,45.615074157714844,7.284309823746804e-15
1599983666611,-111.18738555908203,45.61507797241211,7.584273816670371e-15
1599983666613,-111.18738555908203,45.61507797241211,7.784249811952749e-15
1599983666615,-111.18736267089844,45.61508560180664,8.184201802517505e-15
1599983666617,-111.18733978271484,45.615089416503906,7.484285819029182e-15
1599983666619,-111.18730926513672,45.61509323120117,7.484285819029182e-15
1599983666621,-111.18728637695312,45.61509704589844,7.884237809593938e-15
1599983666623,-111.18726348876953,45.6151008605957,7.784249811952749e-15
1599983666625,-111.18730163574219,45.615074157714844,7.884237809593938e-15
1599983666627,-111.18733215332031,45.615047454833984,7.68426181431156e-15
1599983666629,-111.18737030029297,45.61502456665039,7.784249811952749e-15
1599983666631,-111.1874008178711,45.61499786376953,7.584273816670371e-15
1599983666633,-111.18743896484375,45.61497497558594,7.284309823746804e-15
1599983666635,-111.18744659423828,45.614994049072266,6.984345830823237e-15
1599983666637,-111.18746185302734,45.615013122558594,7.384297821387993e-15
1599983666639,-111.18746948242188,45.61503601074219,7.484285819029182e-15
1599983666641,-111.18748474121094,45.615055084228516,7.084333828464426e-15
1599983666643,-111.18749237060547,45.615074157714844,6.884357833182048e-15
1599983666645,-111.18749237060547,45.61505889892578,6.884357833182048e-15
1599983666647,-111.18749237060547,45.61504364013672,7.284309823746804e-15
1599983666649,-111.18749237060547,45.61502456665039,6.884357833182048e-15
1599983666651,-111.18749237060547,45.61500930786133,7.68426181431156e-15
1599983666653,-111.18749237060547,45.614994049072266,7.384297821387993e-15
1599983666655,-111.18749237060547,45.614990234375,7.384297821387993e-15
1599983666657,-111.18749237060547,45.61498260498047,7.384297821387993e-15
1599983666659,-111.18749237060547,45.6149787902832,7.584273816670371e-15
1599983666660,-111.18749237060547,45.61497497558594,6.784369835540859e-15
1599983666663,-111.18749237060547,45.614967346191406,7.084333828464426e-15
1599983666665,-111.18748474121094,45.614952087402344,7.184321826105615e-15
1599983666667,-111.18748474121094,45.614933013916016,7.084333828464426e-15
1599983666668,-111.1874771118164,45.61491775512695,6.884357833182048e-15
1599983666670,-111.18746948242188,45.614898681640625,6.984345830823237e-15
1599983666673,-111.18746185302734,45.61488342285156,6.484405842617292e-15
1599983666675,-111.18746948242188,45.61490249633789,6.884357833182048e-15
1599983666676,-111.18748474121094,45.61492919921875,7.084333828464426e-15
1599983666678,-111.18749237060547,45.614952087402344,6.584393840258481e-15
1599983666680,-111.18750762939453,45.6149787902832,7.084333828464426e-15
1599983666683,-111.18751525878906,45.6150016784668,7.384297821387993e-15
1599983666684,-111.18749237060547,45.61499786376953,7.084333828464426e-15
1599983666686,-111.18745422363281,45.614986419677734,6.884357833182048e-15
1599983666688,-111.18742370605469,45.6149787902832,6.384417844976103e-15
1599983666691,-111.18739318847656,45.61497116088867,5.784489859128969e-15
1599983666692,-111.1873550415039,45.614959716796875,5.384537868564213e-15
1599983666694,-111.18733978271484,45.614967346191406,4.8845978803582684e-15
1599983666696,-111.18732452392578,45.6149787902832,3.584753911022812e-15
1599983666698,-111.21611785888672,45.56440353393555,6.184441849693725e-15
1599983666701,-111.23739624023438,45.527034759521484,5.284549870923024e-15
1599983666702,-111.23738098144531,45.52704620361328,4.984585877999457e-15
1599983666704,-111.2374038696289,45.527042388916016,5.584513863846591e-15
1599983666706,-111.23744201660156,45.52703857421875,5.884477856770158e-15
1599983666709,-111.23747253417969,45.52703094482422,6.584393840258481e-15
1599983666710,-111.23751068115234,45.52702713012695,6.584393840258481e-15
1599983666712,-111.23754119873047,45.52701950073242,7.384297821387993e-15
1599983666714,-111.23756408691406,45.52701187133789,7.284309823746804e-15
1599983666716,-111.2375717163086,45.52700424194336,7.484285819029182e-15
1599983666718,-111.23758697509766,45.52699661254883,7.984225807235127e-15
1599983666720,-111.23760223388672,45.52698516845703,7.384297821387993e-15
1599983666722,-111.23760986328125,45.5269775390625,7.784249811952749e-15
1599983666724,-111.23759460449219,45.52699279785156,8.084213804876316e-15
1599983666726,-111.2375717163086,45.52701187133789,8.184201802517505e-15
1599983666728,-111.237548828125,45.52703094482422,8.284189800158694e-15
1599983666730,-111.2375259399414,45.52705383300781,8.084213804876316e-15
1599983666732,-111.23750305175781,45.52707290649414,7.884237809593938e-15
1599983666734,-111.23750305175781,45.52707290649414,7.584273816670371e-15
1599983666736,-111.23751068115234,45.527061462402344,6.984345830823237e-15
1599983666738,-111.23751068115234,45.52705383300781,5.68450186148778e-15
1599983666740,-111.23751831054688,45.52704620361328,6.084453852052536e-15
1599983666742,-111.2375259399414,45.527034759521484,5.884477856770158e-15
1599983666744,-111.23751831054688,45.527042388916016,5.68450186148778e-15
1599983666746,-111.23750305175781,45.52705764770508,5.084573875640646e-15
1599983666748,-111.23749542236328,45.52707290649414,4.8845978803582684e-15
1599983666750,-111.23748016357422,45.5270881652832,4.7846098827170794e-15
1599983666752,-111.23746490478516,45.527103424072266,4.2846698945111345e-15
1599983666754,-111.23746490478516,45.527099609375,4.0846938992287565e-15
1599983666756,-111.23747253417969,45.52708435058594,2.8848379275344887e-15
1599983666758,-111.23748016357422,45.52707290649414,2.7848499298932998e-15
1599983666794,-111.3692398071289,45.517738342285156,3.1848019204580557e-15
1599983666796,-111.3692626953125,45.51773452758789,2.8848379275344887e-15
1599983666798,-111.3692855834961,45.51772689819336,2.8848379275344887e-15
1599983666800,-111.36930847167969,45.51771926879883,3.0848139228168667e-15
1599983666802,-111.36933898925781,45.51771545410156,2.7848499298932998e-15
