#Day Of Year:,349
#Event Date:,12/15/2019 14:33:26
#Original NetCDF file:,ORGLM-L2-LCFAG16s20193491433200e20193491433400c20193491433422.nc
#Platform:,G16
#Satellite (lat/lon/height):,0.0 / -75.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,04/14/2020 08:17:42
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
1576420406002,-109.89079284667969,-48.508758544921875,1.2783649694012198e-14
1576420406004,-109.89080810546875,-48.508792877197266,1.9182881543048293e-14
1576420406005,-109.89082336425781,-48.508827209472656,2.3782329434542986e-14
1576420406007,-109.89083862304688,-48.50886154174805,2.8881717314243624e-14
1576420406010,-109.89085388183594,-48.50889587402344,2.858175332132006e-14
1576420406012,-109.89083862304688,-48.5089111328125,3.058151327414384e-14
1576420406013,-109.89078521728516,-48.50890350341797,2.8881717314243624e-14
1576420406015,-109.89073181152344,-48.50889205932617,3.54809251585621e-14
1576420406017,-109.89067840576172,-48.50888442993164,3.54809251585621e-14
1576420406020,-109.890625,-48.508872985839844,3.498098517035615e-14
1576420406021,-109.8906021118164,-48.50886535644531,3.6780769127897554e-14
1576420406023,-109.89060974121094,-48.508853912353516,3.518096116563853e-14
1576420406025,-109.890625,-48.50884246826172,3.798062509959182e-14
1576420406027,-109.89063262939453,-48.50883102416992,4.308001297929246e-14
1576420406029,-109.8906478881836,-48.50882339477539,4.597966491088694e-14
1576420406031,-109.89066314697266,-48.50881576538086,4.7679460870787153e-14
1576420406033,-109.89067077636719,-48.50881576538086,4.4679820941551484e-14
1576420406035,-109.89067840576172,-48.50881576538086,4.6479604899092885e-14
1576420406037,-109.89068603515625,-48.508819580078125,3.8780529080721334e-14
1576420406039,-109.89069366455078,-48.508819580078125,3.9580433061850846e-14
1576420406041,-109.89069366455078,-48.50882339477539,4.597966491088694e-14
1576420406043,-109.89068603515625,-48.50883102416992,4.517976092975743e-14
1576420406045,-109.89067077636719,-48.50883865356445,3.7780649104309444e-14
1576420406047,-109.89066314697266,-48.50885009765625,3.648080513497399e-14
1576420406049,-109.8906478881836,-48.50885772705078,2.958163329773195e-14
1576420406051,-109.8906478881836,-48.50886535644531,3.1881357243479294e-14
1576420406053,-109.89066314697266,-48.50886535644531,2.2682461460489907e-14
1576420406055,-109.89067840576172,-48.50886535644531,2.3182401448695852e-14
1576420406057,-109.89069366455078,-48.50886154174805,1.9182881543048293e-14
1576420406059,-109.89071655273438,-48.50886154174805,1.3483565677500521e-14
