#Day Of Year:,357
#Event Date:,12/23/2019 12:46:13
#Original NetCDF file:,ORGLM-L2-LCFAG17s20193571246000e20193571246160c20193571246323.nc
#Platform:,G17
#Satellite (lat/lon/height):,0.0 / -137.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,04/14/2020 08:15:21
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
1577105173942,-119.744384765625,44.946983337402344,2.484885936969733e-15
1577105173944,-119.74436950683594,44.94697570800781,2.384897939328544e-15
1577105173946,-119.74439239501953,44.94697189331055,3.1848019204580557e-15
1577105173948,-119.7444076538086,44.946964263916016,3.584753911022812e-15
1577105173950,-119.74442291259766,44.946956634521484,4.0846938992287565e-15
1577105173952,-119.74443817138672,44.94695281982422,4.6846218850758904e-15
1577105173954,-119.74444580078125,44.94695281982422,5.184561873281835e-15
1577105173956,-119.74441528320312,44.94697952270508,4.984585877999457e-15
1577105173958,-119.74439239501953,44.94700622558594,5.984465854411347e-15
1577105173960,-119.7443618774414,44.9470329284668,6.584393840258481e-15
1577105173962,-119.74433135986328,44.94705581665039,7.084333828464426e-15
1577105173964,-119.74432373046875,44.94706726074219,7.984225807235127e-15
1577105173966,-119.74436950683594,44.947021484375,8.484165795441072e-15
1577105173968,-119.74442291259766,44.94697570800781,9.184081778929395e-15
1577105173970,-119.74446868896484,44.946929931640625,9.983985760058907e-15
1577105173972,-119.74452209472656,44.94688034057617,1.0383937750623662e-14
1577105173974,-119.74456024169922,44.94684600830078,1.068390174354723e-14
1577105173976,-119.7445297241211,44.94687271118164,1.0783889741188418e-14
1577105173978,-119.74449920654297,44.946895599365234,1.0883877738829607e-14
1577105173980,-119.74446105957031,44.94691848754883,1.1383817727035552e-14
1577105173982,-119.74443054199219,44.94694137573242,1.1883757715241497e-14
1577105173984,-119.7444076538086,44.946964263916016,1.2183721708165064e-14
1577105173986,-119.74440002441406,44.946964263916016,1.3083613686935765e-14
1577105173988,-119.74440002441406,44.946964263916016,1.3383577679859332e-14
1577105173990,-119.74440002441406,44.94696807861328,1.358355367514171e-14
